map,tier,hero,delta_wr,delta_pr,presence,archetype,rank_comparison,sample_size
circuit-royal,D,brigitte,-5.92,-5.8,Niche (-5.8%),Deterrent,Even Across Ranks,40
circuit-royal,B,cassidy,-0.66,-15.12,Niche (-15.1%),Neutral,Better in Masters,43
circuit-royal,D,dmon,-3.89,-3.98,Niche (-4.0%),Deterrent,Better in Masters,8
circuit-royal,S,domina,6.57,4.44,Map Priority (+4.4%),Meta,Even Across Ranks,44
circuit-royal,D,doomfist,-3.32,-2.15,Niche (-2.2%),Deterrent,Even Across Ranks,44
circuit-royal,D,dva,-4.1,-2.45,Niche (-2.5%),Deterrent,Even Across Ranks,44
circuit-royal,D,echo,-3.24,-1.13,Niche (-1.1%),Deterrent,Even Across Ranks,43
circuit-royal,B,emre,0.13,4.67,Map Priority (+4.7%),Neutral,Even Across Ranks,44
circuit-royal,B,freja,0.06,5.22,Map Priority (+5.2%),Neutral,Better in Masters,44
circuit-royal,B,genji,0.11,-1.17,Niche (-1.2%),Neutral,Even Across Ranks,44
circuit-royal,B,hanzo,0.54,7.56,Map Priority (+7.6%),Neutral,Better in Masters,44
circuit-royal,D,hazard,-8.16,-5.88,Niche (-5.9%),Deterrent,Better in Masters,38
circuit-royal,A,illari,1.83,6.13,Map Priority (+6.1%),Meta,Even Across Ranks,44
circuit-royal,C,jetpackcat,-2.26,-2.08,Niche (-2.1%),Deterrent,Even Across Ranks,44
circuit-royal,D,junkerqueen,-7.82,-2.08,Niche (-2.1%),Deterrent,Better in Masters,28
circuit-royal,C,junkrat,-1.87,0.12,Standard (+0.1%),Unfavorable,Even Across Ranks,44
circuit-royal,S,juno,4.22,4.72,Map Priority (+4.7%),Meta,Even Across Ranks,44
circuit-royal,D,kiriko,-3.97,-18.3,Niche (-18.3%),Deterrent,Better in Masters,44
circuit-royal,B,lifeweaver,-0.85,1.26,Popular (+1.3%),Neutral,Even Across Ranks,43
circuit-royal,D,lucio,-9.95,-6.38,Niche (-6.4%),Deterrent,Even Across Ranks,38
circuit-royal,D,mauga,-4.54,-2.42,Niche (-2.4%),Deterrent,Even Across Ranks,41
circuit-royal,A,mei,2.62,3.23,Map Priority (+3.2%),Meta,Even Across Ranks,43
circuit-royal,B,mercy,0.78,1.57,Popular (+1.6%),Neutral,Even Across Ranks,43
circuit-royal,A,mizuki,2.15,-5.21,Niche (-5.2%),Specialist,Better in GM+,44
circuit-royal,C,moira,-1.64,-3.1,Niche (-3.1%),Deterrent,Better in Masters,43
circuit-royal,B,orisa,1.13,1.01,Popular (+1.0%),Neutral,Even Across Ranks,43
circuit-royal,D,pharah,-3.15,2.22,Popular (+2.2%),Trap Pick,Better in GM+,43
circuit-royal,B,ramattra,1.02,4.4,Map Priority (+4.4%),Neutral,Even Across Ranks,43
circuit-royal,B,reaper,0.4,-4.92,Niche (-4.9%),Neutral,Even Across Ranks,44
circuit-royal,B,reinhardt,1.04,1.2,Popular (+1.2%),Neutral,Better in Masters,43
circuit-royal,D,roadhog,-7.21,-3.42,Niche (-3.4%),Deterrent,Better in Masters,41
circuit-royal,D,shion,-4.52,-12.33,Niche (-12.3%),Deterrent,Even Across Ranks,20
circuit-royal,A,sierra,2.24,1.51,Popular (+1.5%),Meta,Even Across Ranks,31
circuit-royal,S,sigma,8.08,17.51,Map Priority (+17.5%),Meta,Even Across Ranks,44
circuit-royal,A,sojourn,2.36,12.26,Map Priority (+12.3%),Meta,Even Across Ranks,44
circuit-royal,C,soldier76,-1.81,-2.75,Niche (-2.8%),Deterrent,Better in Masters,43
circuit-royal,B,sombra,0.83,-1.15,Niche (-1.1%),Neutral,Better in GM+,39
circuit-royal,S,symmetra,3.08,0.26,Standard (+0.3%),Favorable,Better in GM+,43
circuit-royal,D,torbjorn,-3.09,-0.59,Standard (-0.6%),Deterrent,Better in GM+,42
circuit-royal,D,tracer,-6.22,-18.51,Niche (-18.5%),Deterrent,Even Across Ranks,43
circuit-royal,C,vendetta,-2.08,-1.0,Niche (-1.0%),Deterrent,Better in Masters,27
circuit-royal,C,venture,-1.51,-0.57,Standard (-0.6%),Deterrent,Better in GM+,44
circuit-royal,S,widowmaker,5.82,7.91,Map Priority (+7.9%),Meta,Even Across Ranks,44
circuit-royal,D,winston,-10.39,-7.62,Niche (-7.6%),Deterrent,Even Across Ranks,43
circuit-royal,C,wreckingball,-1.34,-2.7,Niche (-2.7%),Unfavorable,Better in Masters,42
circuit-royal,B,wuyang,0.58,-0.15,Standard (-0.1%),Neutral,Even Across Ranks,44
circuit-royal,C,zarya,-1.76,0.46,Standard (+0.5%),Unfavorable,Better in Masters,44
circuit-royal,A,zenyatta,1.52,10.62,Map Priority (+10.6%),Meta,Even Across Ranks,44
colosseo,C,ana,-2.67,-2.58,Niche (-2.6%),Deterrent,Even Across Ranks,44
colosseo,A,anran,2.52,0.27,Standard (+0.3%),Favorable,Even Across Ranks,41
colosseo,C,ashe,-1.22,-2.68,Niche (-2.7%),Unfavorable,Even Across Ranks,43
colosseo,C,baptiste,-2.17,-1.63,Niche (-1.6%),Deterrent,Better in Masters,44
colosseo,C,bastion,-2.14,-1.02,Niche (-1.0%),Deterrent,Better in Masters,42
colosseo,B,brigitte,-0.89,-0.01,Standard (-0.0%),Neutral,Even Across Ranks,44
colosseo,C,cassidy,-1.79,0.31,Standard (+0.3%),Unfavorable,Even Across Ranks,44
colosseo,B,dmon,0.32,1.59,Popular (+1.6%),Neutral,Even Across Ranks,8
colosseo,D,domina,-5.0,-0.29,Standard (-0.3%),Deterrent,Better in Masters,43
colosseo,S,doomfist,3.04,0.95,Standard (+1.0%),Favorable,Even Across Ranks,44
colosseo,C,dva,-2.61,-0.59,Standard (-0.6%),Deterrent,Even Across Ranks,44
colosseo,B,echo,0.38,-0.98,Standard (-1.0%),Neutral,Even Across Ranks,44
colosseo,B,emre,-0.96,1.25,Popular (+1.3%),Neutral,Even Across Ranks,44
colosseo,A,freja,1.63,-1.0,Standard (-1.0%),Specialist,Even Across Ranks,43
colosseo,B,genji,-0.13,-1.01,Niche (-1.0%),Neutral,Even Across Ranks,44
colosseo,B,hanzo,-0.25,-2.23,Niche (-2.2%),Neutral,Even Across Ranks,43
colosseo,B,hazard,0.78,0.38,Standard (+0.4%),Neutral,Even Across Ranks,43
colosseo,A,illari,1.52,-0.47,Standard (-0.5%),Specialist,Even Across Ranks,44
colosseo,A,jetpackcat,2.49,0.17,Standard (+0.2%),Favorable,Even Across Ranks,44
colosseo,A,junkerqueen,1.51,0.84,Standard (+0.8%),Favorable,Even Across Ranks,43
colosseo,A,junkrat,2.35,-0.61,Standard (-0.6%),Specialist,Even Across Ranks,43
colosseo,B,juno,0.43,0.72,Standard (+0.7%),Neutral,Even Across Ranks,43
colosseo,B,kiriko,0.65,2.22,Popular (+2.2%),Neutral,Even Across Ranks,44
colosseo,B,lifeweaver,0.02,-0.31,Standard (-0.3%),Neutral,Better in GM+,43
colosseo,S,lucio,3.78,1.54,Popular (+1.5%),Meta,Even Across Ranks,44
colosseo,B,mauga,-0.52,0.6,Standard (+0.6%),Neutral,Even Across Ranks,43
colosseo,A,mei,1.7,-1.24,Niche (-1.2%),Specialist,Better in GM+,43
